Twitler,Durum
"a101 6 nisan firsatlari

ucuzkenaldim 

reklam degil kisisel paylasimdir

             ",1
trendyol  ,1
 alisverislerime devam  ,1
kargolarimi bana ulastirmak icin defalarca arayan ulasamayinca sevilay hnm buradan alir diye cok nefis bi yere birakip mesaj atan  kuryesi aziz sen sahane bir insansin  kuryelerinizin kiymetini bilin olur mu  trendyol  ,1
 favorilerimin hepsini almak isterdim ,1
trendyol yemek ve harika canli destek hatti ile hasbihal ettik guler yuzlu destekleri icin tesekkur ediyorum trendyol trendyoldestek maymun emojiniz beni daha bir etkiledi iyi ki trendyol   ,1
iftar vakti tum trafikte kalanlara  dan cok guzel jest ,1
yeni nesil kooperatif boyle toplaya toplaya hepimizin her seyi var olsa  ,1
surekli  bana ne yakisirdi biliyor musun trendyol tum favorilerimi almak  diyip diyip sepete ekliyorummm   trendyol,1
trendyola ne zaman girsem surekli bir seyler aliyorum  az once dograma tahtasi aldim  ,1
dropshippingte turkiyede bir ilk artik dilediginiz web sitesinin urunlerini trendyolda satabilirsiniz hemen gelin bu harika firsati kacirmayin    ,1
"dunya bu lezzetin pesindeyken sen nerdesin 

       ",1
" trendyol afet sonrasi yatirim planinda degisiklige giderek afet bolgesine giden yardimlari hizlandirmak icin adana aktarma merkezini erken hizmete acti

    ",1
abla bi tweet attin dunyada almamiz gereken tek sey sampuan taragi gibi kostuk aq asnfjkdkfkd ama asiri begendik biz meluwayne  ,1
helal olsun ,1
durduk yere gaza geldim hhahah  ,1
"



trendyol 500 milyon tllik adana merkezini 2 ay erken acti

deprem nedeniyle adana aktarma merkezini 2 ay once acan ve yardim koordine merkezi olarak kullanan trendyol merkez icin 500 milyon lira yatirim yapti
",1
"trendyol 500 milyon tllik yatirimla aktarma merkezi kurdu
afet bolgesine yardim hedefi ile planlarinda degisiklige giden trendyol yardimlari hizlandirmak icin adana aktarma merkezinin acilisini erkene cekti
",1
