Twitler,Durum
 unda neyi indirdiniz acaba,0
mega indirim kandirmacasi bu baska hic bir sey demiyorum cumartesi sepete atilan buyuk  mega indirimde zamlanan bot  bunlar insanlari salak zannediyor herhalde   ,0
abimle oturmusuz kendimize batiyoruz oyle ,0
normalde 20 tl olan bir sey trendyolda 50 tlden 30 tlye dusmus ,0
lutfen salin bizi lutfen   ,0
"trendyol indirim reklami gormekten kuscam 
",0
 efsane kasim bindirimleri,0
 gercekten nasil indirim yapiyorsun bu takim zaten 60 tl idi indirim olmadan simdi 50 indirim yaptik diyorsunuz takim 70 tl kandirmayin insanlari lutfen  ,0
 vallahi bir sey alacagim varsa da almayacagim artik her yerde karsimdasin reklami atla yapamiyoruz ki  tadinda birak biraz,0
trendyol beklediklerim inmemis  ,0
 reklam muzigi cik icimden,0
"dun geceden itibaren baslayan ve ayin 12sine kada rdevam edecek olan dev kasim kampanyasi detaylari neler trendyol musteri hizmetleri numarasi kac gtgt 

     ",0
3 indirim nedir ya utanmadin mi ,0
" kaydet link birak kaydedeyimm

   ",0
neden 91011 kasim hic dusundunuz mu hemde efsane olarak sunulan 10 kasim bizim yas gunumuzdur ataturk dusmanlari   ,0
"efsane indirim gunleri bitse de almak istedigim seyleri daha ucuza alabilsem
",0
yine bu rezil  karsima cikiyor ya inanilmaz  diyorki bana sube yogunlugu trendyol indiriminden dolayi onun icin sizin kargonuzu sube almamistir araskargo araskargodestek ozrunuz kabahatinizden buyuk,0
50 liralik bir urun 120 liradan 70 liraya dusmus efsane kasim indirimleri adi altinda insanlari kandiranlara yaziklar olsun       ,0
"instagramda herkes durmadan link koyuyor hikayesine sorsaniza bi paraniz var mi diye
 ",0
allahim    batagina dusup maasimi burda bitirmeden tez elden aralik ayina kavustur bizleri,0
"trendyol indirimi paylasmaktan yorulmadiniz mi link ekliyorum blaa blaaaa yeterrrrr 
",0
kafamda surekli sans melegim caliyor suclusu  biktim reklamlarinizdan ,0
"trendyol dipsiz kuyu gibi baktikca bakiyorum sepete attikca atiyorum umarim bu hikayede yanan ben ve kredi kartim olmaz
",0
 indirimi bitse de bir seyler alsam indirim oncesi daha ucuzdu her sey,0
 o kadar cok reklam vermis ki  ve  kusucam yeter,0
satin alacagim urunun esas fiyatini tam satin alma asamasindayken yukseltmek tesekkurler trendyol super giydirme indirimleri ile insanlar kandirilmaya  devam ediliyor ,0
ula hani indirim ,0
once bindirim sonra indirim  ,0
trendyol indirimi bitene kadar instagrama girmeyi dusunmuyorum yetti be artik  ,0
"siz salakmisiniz neresi indirim de bu urunlerin biraz abartmiyomusunuz 
",0
su  indirimi bitse de bu batakliktan kurtulsak,0
"sevgili trendyolda devv bir indirim var 30 liralik urun 100 liradan 50 liraya dusmus
",0
 sal yakami ,0
pesimi birak ,0
trendyol buyuk trendyol kazik gunleri mi baslamis ,0
trendyol istedigin kadar indirim yapabilirsin umurumda degil cunku alisveris yapmiyorum ,0
bu deri ceketler indirimde mi simdi ,0
dilim hikaye ya bu indirimler derken en son kahve kopurtucusu bakarken buldum kendimi  ,0
 siparisim bana ulasmadi para iadesi gelmedi bilgi maili veya mesaj atilmadi 10 tl diye herhalde sallamadilar ama dikkat edin para ne iadesi oluyor nede ariyorlar resmen hirsizlik yaa ,0
paramin olmayisinin tek sebebisin ,0
google a giriyorsun youtube giriyorsun karsinda hep    reklamlari artik gina geldi bedava bile verseniz sizlerden bir tane cop bile almayacagim aldirmayacagim  bu nedir ya yeter artik,0
bu trendyol bir batak insana ihtiyaci yoksa bile varmis hissi veriyolar su an resmen dolabimda  hicbir sey yokk ,0
 da istedigim kulaklik 279 liraydi indirim gunlerinde 369 olmus indirim bitsin oyle alayim bari sksmsnns,0
kac marka daha indirimden zarar etmemek icin urunlerini geri cekti merak ediyorum ,0
su her saniye her yerden cikan  reklamlarindan bir ben bunalmis olamam degil mi  oogg geldi yani,0
iade edip beden degisikligi yapcaktim yeni urunu alacaktim ki nolduuuu   urunlerini  dan cekmis hepsi tukendi gorunuyor halbuki kendi sitesinde gayette var  trendyolu aradan cekelimm,0
iki tweetten iki hikayeden biri  kasim indirim indirim indirim bir cok urune bi kac hafta onceden bindirip sonra dev indirim diyerek ayni fiyata indiriyorsunuz ve buna kosa kosa gidenlere soruyorum gercekten ayin sonunu nasil goruyorsunuz,0
 dun 300 tl ye baktigim kaban bu gun 637 tl cok iyi bindiriyorsunuz sey pardon indiriyorsunuz ,0
 batagindan cikamiyorumm ,0
  dus yakamizdan bisey almicazzz,0
indirim reklamlarini gormek istemiyorum artik yeter    ,0
benim anlayamadigim sey gercekten ekstra bir indirim yok millet indirim var saniyor gereksiz alisverise karsiyim ne geregi var yahu ,0
trendyol hepsiburada n11 vs gibi online alisveris sitelerinin efsane kampanyalarina inaniyor musunuz     ,0
trendyol iyisin hossun ama alacak bisey yok sende bizim tarzda neyse bu seferde paramiz cepte kaldi ,0
instagrama giriyorum  youtubea giriyorum yine  hadi dedim bir fal atayim faladdinden falda da  cikinca tamam dedim,0
"        kaydedip ekran goruntusu atan herkese bende kaydedip ekran goruntusu atiyorum ekran goruntusu sart 
",0
  3 kurusluk indirime 100 milyonluk reklam yaptiniz yeter da yeter gozumuze sictiniz,0
"ne tarafa kusuyoruz
 hep senin yuzunden bu telas ",0
